,giraffe,carrot,bird,skateboard,person,toothbrush,diningtable,chair,suitcase,backpack,train,car,cup,bear,sandwich,handbag,donut,apple,bowl,bottle,sofa,dog,bench,truck,vase,pottedplant,motorbike,bicycle,broccoli,clock,traffic light,bus,bed,wine glass,aeroplane,pizza,cake,cell phone,remote,tvmonitor,laptop,microwave,umbrella,book,toilet,sports ball,tie,cat,banana,boat,teddy bear,surfboard,spoon,knife,horse,fork,sink,tennis racket,skis,mouse,kite,scissors,keyboard,fire hydrant,elephant,snowboard,cow,sheep,frisbee,orange,refrigerator,stop sign,oven,hot dog,baseball bat,baseball glove,parking meter,zebra
clock,0,0,1,0,41,0,0,8,0,1,0,9,3,0,0,2,1,1,2,1,1,2,1,0,2,6,0,2,0,0,1,3,0,2,0,0,0,0,1,3,0,1,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
traffic light,0,0,1,0,41,0,0,0,3,0,1,42,0,0,0,2,0,0,0,0,0,0,0,6,0,1,0,3,0,1,0,9,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
bus,0,0,0,0,29,0,0,1,1,0,2,26,0,0,0,2,0,0,0,0,0,0,1,8,0,0,1,1,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bed,0,0,2,0,58,0,1,5,1,0,0,1,1,0,0,1,0,0,2,1,12,20,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,3,0,0,10,0,0,1,22,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wine glass,0,0,0,0,47,1,30,20,0,1,0,0,36,0,0,2,0,0,12,18,3,1,0,0,8,3,0,0,0,2,0,0,1,0,0,0,2,1,1,4,1,1,0,1,0,0,4,0,0,0,0,0,1,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
aeroplane,0,0,7,0,17,0,1,1,0,0,1,3,1,0,0,1,0,0,0,1,0,1,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pizza,0,1,1,0,5,0,4,2,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cake,0,1,0,0,21,0,37,9,0,0,0,0,15,1,4,0,2,2,7,6,0,0,0,0,3,0,0,2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,3,3,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0
cell phone,0,0,0,0,68,0,8,11,0,4,0,3,10,0,0,3,0,0,1,8,3,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,2,8,9,1,0,11,0,0,6,0,0,0,0,0,2,2,0,1,0,0,0,5,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
remote,0,0,0,1,12,0,0,2,0,1,0,0,3,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,3,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tvmonitor,0,0,0,1,67,0,7,28,1,3,0,1,13,0,0,3,0,0,3,9,2,6,2,0,0,3,0,1,0,3,0,0,1,4,0,0,0,8,3,0,22,1,0,9,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,12,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
laptop,0,0,0,0,51,0,7,21,0,0,0,0,13,0,0,1,0,0,0,11,1,5,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,9,3,22,0,0,0,14,0,0,3,4,0,0,0,0,2,1,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microwave,0,0,0,0,10,0,3,5,0,0,0,1,3,0,0,0,0,1,4,3,2,0,0,0,2,5,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0
umbrella,0,0,1,0,66,0,0,5,2,2,0,15,0,0,0,8,0,0,0,3,0,0,4,1,0,1,1,3,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
book,0,0,0,0,61,0,4,17,0,4,0,1,7,0,0,5,0,0,1,8,10,5,2,1,1,4,0,0,0,1,1,0,10,1,0,0,0,11,2,9,14,1,0,0,0,1,5,5,0,0,4,1,1,0,0,0,0,0,0,5,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
toilet,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sports ball,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,0,0
tie,0,0,0,0,203,1,7,24,0,1,0,4,11,0,0,8,0,0,0,11,0,2,0,0,4,2,1,1,0,2,1,0,1,4,0,0,0,6,0,2,3,0,1,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
cat,0,0,1,0,26,0,3,7,4,0,0,2,2,1,0,0,0,0,3,1,22,27,2,0,1,1,0,0,0,0,0,0,22,0,0,0,0,0,1,0,4,0,1,5,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
banana,0,0,0,0,7,0,1,1,0,0,0,0,2,0,0,0,0,1,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
boat,0,0,4,0,43,0,0,1,0,0,1,5,0,0,0,1,0,0,1,1,0,1,0,2,0,1,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
teddy bear,0,0,0,0,21,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
surfboard,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spoon,0,1,0,0,7,0,19,3,0,0,0,1,15,0,0,1,0,0,17,3,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,3,2,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,6,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
knife,0,0,0,0,10,0,15,8,0,1,0,0,11,0,1,2,0,0,6,4,0,0,0,0,3,1,0,0,0,0,0,0,0,7,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
horse,0,0,0,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,0,0,0,0,0,0,0,0,1
fork,0,0,0,0,7,0,10,4,0,0,0,0,9,0,0,0,0,0,7,2,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sink,0,0,0,0,4,0,1,2,0,0,0,0,2,0,0,0,0,0,5,3,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
tennis racket,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skis,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mouse,0,0,0,0,6,0,2,7,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kite,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scissors,1,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keyboard,0,0,0,0,9,0,1,8,0,1,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,13,10,0,0,6,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fire hydrant,0,0,0,0,10,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,3,1,3,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elephant,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
